hola|こんにちは|interjección|あいさつ
adiós|さようなら|interjección|あいさつ
gracias|ありがとう|interjección|あいさつ
por favor|お願いします|expresión|あいさつ
sí|はい|adverbio|基本表現
no|いいえ／〜ない|adverbio|基本表現
perdón|すみません|interjección|あいさつ
bien|良く／元気に|adverbio|基本表現
mal|悪く／具合が悪い|adverbio|基本表現
nombre|名前|sustantivo|個人情報
apellido|姓|sustantivo|個人情報
hombre|男性|sustantivo|人
mujer|女性|sustantivo|人
niño|男の子|sustantivo|人
niña|女の子|sustantivo|人
amigo|男友達|sustantivo|人間関係
amiga|女友達|sustantivo|人間関係
familia|家族|sustantivo|家族
padre|父|sustantivo|家族
madre|母|sustantivo|家族
hermano|兄弟|sustantivo|家族
hermana|姉妹|sustantivo|家族
hijo|息子|sustantivo|家族
hija|娘|sustantivo|家族
abuelo|祖父|sustantivo|家族
abuela|祖母|sustantivo|家族
marido|夫|sustantivo|家族
esposa|妻|sustantivo|家族
casa|家|sustantivo|住居
habitación|部屋|sustantivo|住居
cocina|台所|sustantivo|住居
baño|浴室／トイレ|sustantivo|住居
puerta|ドア|sustantivo|住居
ventana|窓|sustantivo|住居
mesa|テーブル|sustantivo|住居
silla|椅子|sustantivo|住居
cama|ベッド|sustantivo|住居
libro|本|sustantivo|学習
cuaderno|ノート|sustantivo|学習
papel|紙|sustantivo|学習
bolígrafo|ボールペン|sustantivo|学習
lápiz|鉛筆|sustantivo|学習
teléfono|電話|sustantivo|持ち物
ordenador|コンピューター|sustantivo|持ち物
reloj|時計|sustantivo|持ち物
llave|鍵|sustantivo|持ち物
dinero|お金|sustantivo|買い物
tarjeta|カード|sustantivo|買い物
agua|水|sustantivo|飲食
café|コーヒー|sustantivo|飲食
té|お茶|sustantivo|飲食
leche|牛乳|sustantivo|飲食
pan|パン|sustantivo|飲食
arroz|米／ご飯|sustantivo|飲食
carne|肉|sustantivo|飲食
pescado|魚|sustantivo|飲食
pollo|鶏肉|sustantivo|飲食
fruta|果物|sustantivo|飲食
manzana|りんご|sustantivo|飲食
naranja|オレンジ|sustantivo|飲食
verdura|野菜|sustantivo|飲食
patata|じゃがいも|sustantivo|飲食
desayuno|朝食|sustantivo|飲食
comida|食事／昼食|sustantivo|飲食
cena|夕食|sustantivo|飲食
restaurante|レストラン|sustantivo|場所
bar|バル／酒場|sustantivo|場所
tienda|店|sustantivo|場所
supermercado|スーパーマーケット|sustantivo|場所
escuela|学校|sustantivo|場所
universidad|大学|sustantivo|場所
clase|授業／クラス|sustantivo|学習
profesor|教師|sustantivo|職業
estudiante|学生|sustantivo|職業
trabajo|仕事|sustantivo|仕事
médico|医師|sustantivo|職業
camarero|ウェイター|sustantivo|職業
ciudad|都市|sustantivo|場所
pueblo|町／村|sustantivo|場所
país|国|sustantivo|場所
calle|通り|sustantivo|場所
plaza|広場|sustantivo|場所
estación|駅|sustantivo|交通
aeropuerto|空港|sustantivo|交通
hotel|ホテル|sustantivo|旅行
banco|銀行|sustantivo|場所
hospital|病院|sustantivo|場所
farmacia|薬局|sustantivo|場所
coche|車|sustantivo|交通
autobús|バス|sustantivo|交通
tren|列車|sustantivo|交通
bicicleta|自転車|sustantivo|交通
avión|飛行機|sustantivo|交通
día|日|sustantivo|時間
semana|週|sustantivo|時間
mes|月|sustantivo|時間
año|年|sustantivo|時間
hoy|今日|adverbio|時間
mañana|明日／朝|adverbio|時間
ayer|昨日|adverbio|時間
lunes|月曜日|sustantivo|時間
martes|火曜日|sustantivo|時間
miércoles|水曜日|sustantivo|時間
jueves|木曜日|sustantivo|時間
viernes|金曜日|sustantivo|時間
sábado|土曜日|sustantivo|時間
domingo|日曜日|sustantivo|時間
uno|1／一つ|numeral|数字
dos|2／二つ|numeral|数字
tres|3／三つ|numeral|数字
primero|最初の／第一の|adjetivo|順序
último|最後の|adjetivo|順序
grande|大きい|adjetivo|形容
pequeño|小さい|adjetivo|形容
bueno|良い|adjetivo|形容
malo|悪い|adjetivo|形容
nuevo|新しい|adjetivo|形容
viejo|古い／年老いた|adjetivo|形容
bonito|きれいな／かわいい|adjetivo|形容
alto|高い／背が高い|adjetivo|形容
bajo|低い／背が低い|adjetivo|形容
joven|若い|adjetivo|形容
feliz|幸せな|adjetivo|感情
triste|悲しい|adjetivo|感情
caliente|熱い|adjetivo|状態
frío|冷たい／寒い|adjetivo|状態
rojo|赤い|adjetivo|色
azul|青い|adjetivo|色
verde|緑の|adjetivo|色
blanco|白い|adjetivo|色
negro|黒い|adjetivo|色
ser|〜である（本質）|verbo|基本動詞
estar|〜である／いる（状態）|verbo|基本動詞
tener|持っている|verbo|基本動詞
hay|〜がある／いる|verbo|基本動詞
ir|行く|verbo|基本動詞
venir|来る|verbo|基本動詞
vivir|住む／生きる|verbo|基本動詞
hablar|話す|verbo|基本動詞
comer|食べる|verbo|基本動詞
beber|飲む|verbo|基本動詞
estudiar|勉強する|verbo|基本動詞
trabajar|働く|verbo|基本動詞
leer|読む|verbo|基本動詞
escribir|書く|verbo|基本動詞
escuchar|聞く|verbo|基本動詞
mirar|見る|verbo|基本動詞
comprar|買う|verbo|基本動詞
querer|欲しい／愛する|verbo|基本動詞
gustar|好みに合う|verbo|基本動詞
